departamento,municipio,codigo_departamental,codigo_municipal,solar_power_mean_norm,poblacion_expuesta_a_terremotos_norm,poblacion_expuesta_a_inundaciones_norm,poblacion_expuesta_a_ciclones_y_marejadas_norm,poblacion_expuesta_a_deslizamientos_norm,poblacion_afectada_por_sequia_norm,poblacion_expuesta_a_incendios_forestales_norm,capacidad_de_respuesta_norm,infraestructura_norm,iae_norm,solar_suitability_index
Francisco Morazan,Santa Ana,HN08,HN0822,0.5655751983778963,1.0,0.64,1.0,0.42000000000000004,1.0,0.6774193548387096,0.2795698924731182,0.2786885245901639,0.839622641509434,0.640806091956202
La Paz,Cane,HN12,HN1204,0.7311412950926304,0.39,0.13000000000000012,1.0,0.66,1.0,0.38709677419354815,0.6451612903225806,0.5081967213114754,0.767654986522911,0.6401684950336013
Valle,Nacaome,HN17,HN1701,0.93492213910356,0.14,0.30000000000000004,0.21649484536082475,0.5900000000000001,0.32000000000000006,0.5806451612903225,0.5591397849462365,0.639344262295082,0.8259658580413297,0.6393391503662679
Lempira,San Andres,HN13,HN1316,0.6847163213290067,0.27,0.79,1.0,0.05999999999999994,0.29000000000000004,0.6451612903225807,0.6451612903225806,0.9836065573770493,0.6325247079964061,0.6380315809379817
Choluteca,El Triunfo,HN06,HN0606,0.872315704690891,0.15999999999999992,0.09999999999999998,0.4432989690721648,1.0,0.32000000000000006,0.5483870967741934,0.6451612903225806,0.6885245901639343,0.6979335130278527,0.6357155354279012
Choluteca,Morolica,HN06,HN0608,0.6649201839302767,1.0,0.11999999999999988,1.0,0.38,0.040000000000000036,0.9677419354838711,0.4623655913978494,0.8852459016393444,0.5673854447439353,0.6339679947128496
El Paraiso,San Antonio De Flores,HN07,HN0711,0.6445009338025391,1.0,0.19000000000000006,1.0,0.5599999999999999,0.050000000000000044,0.8387096774193548,0.6451612903225806,0.7540983606557377,0.5807726864330638,0.6334430767010593
El Paraiso,Guinope,HN07,HN0705,0.36613929017054525,1.0,1.0,1.0,0.64,1.0,0.6774193548387096,0.2795698924731182,0.5081967213114754,0.8035938903863432,0.6323514686434513
Francisco Morazan,Reitoca,HN08,HN0815,0.6721823463623513,0.29000000000000004,0.78,1.0,0.05999999999999994,0.010000000000000009,0.8387096774193548,0.6451612903225806,0.9016393442622951,0.7316262353998203,0.6309710243543247
Choluteca,Concepcion De Maria,HN06,HN0603,0.7730236154324364,0.20999999999999996,0.28,1.0,0.44999999999999996,0.30999999999999994,0.7096774193548385,0.6451612903225806,0.7868852459016396,0.6147349505840072,0.6303589947273366
El Paraiso,Soledad,HN07,HN0714,0.7600317451966215,0.30999999999999994,0.5599999999999999,1.0,0.06999999999999995,0.030000000000000027,0.903225806451613,0.2795698924731182,0.7704918032786887,0.8342318059299192,0.630255514750431
Choluteca,Namasigue,HN06,HN0609,0.8432400670393232,0.19999999999999996,0.52,1.0,0.5900000000000001,0.30000000000000004,0.5483870967741934,0.0,0.5901639344262296,0.7148247978436657,0.6295361224972044
Valle,Langue,HN17,HN1707,0.8719958842180658,0.22999999999999998,0.11999999999999988,1.0,0.69,0.030000000000000027,0.7419354838709677,0.2795698924731182,0.7704918032786887,0.570440251572327,0.6289863886173386
Choluteca,Orocuina,HN06,HN0610,0.7857211441834687,0.24,0.5,1.0,0.4099999999999999,0.050000000000000044,0.7741935483870968,0.2795698924731182,0.639344262295082,0.8275831087151843,0.6289252450921223
La Paz,Opatoro,HN12,HN1210,0.6156918842011434,0.32000000000000006,0.86,1.0,0.63,0.08000000000000007,0.7741935483870968,0.6451612903225806,0.6721311475409836,0.6895777178796046,0.6273727234318139
Choluteca,Marcovia,HN06,HN0607,0.9363603862210772,0.15999999999999992,0.06999999999999995,0.21649484536082475,1.0,0.32000000000000006,0.6451612903225807,0.2795698924731182,0.5245901639344263,0.8229110512129381,0.6257541194567735
Lempira,La Campa,HN13,HN1308,0.5244745344492365,0.3400000000000001,1.0,1.0,0.32999999999999996,1.0,0.4193548387096774,0.7096774193548386,0.7377049180327869,0.5823899371069181,0.6232207338615259
Comayagua,Minas De Oro,HN03,HN0311,0.45522497516398586,1.0,1.0,1.0,0.52,0.42000000000000004,0.7741935483870968,0.0,0.7049180327868854,0.662982929020665,0.6189704503913759
Colon,Balfate,HN02,HN0202,0.34312638159405645,1.0,0.10999999999999999,1.0,0.44000000000000006,1.0,0.8387096774193548,0.6451612903225806,0.8032786885245903,1.0,0.618202747571669
Francisco Morazan,San Antonio De Oriente,HN08,HN0817,0.39179437036214787,1.0,0.72,1.0,0.5,1.0,0.7419354838709677,0.2795698924731182,0.4918032786885245,0.847349505840072,0.6171379317355254
